"Ano","Sexo","Razão Dep. Jovem","Razão Dep. Idosa","Razão Dep. Total"
"2010","Homens",55.6031437654539,7.02666902154716,62.6298127870011
"2010","Mulheres",53.1684075338713,6.92197437572049,60.0903819095918
"2022","Homens",40.8920871630096,9.22230615483036,50.1143933178399
"2022","Mulheres",38.6326002911187,9.67558500917346,48.3081853002922
